博文内容,识别结果,id
#张嘉元0108生日快乐##张嘉元贰拾如歌同风起#     木槿花—生生不息    【  —木槿岛】——Part.2三城放映——萤火点亮黑夜精灵拥住热风手心里的第108个梦藏匿于夜幕星河轨迹中[合肥放映]放映时间：2023年1月6日—2023年1月8日放映地点：融创茂—5号门中庭一层[深圳放映]放映时间：2023年1月6日—2023年1月8日放映地点：深圳福田星河COCO Park—广场西北侧三层[西安放映]放映时间：2023年1月6日—2023年1月8日放映地点：高新万达广场—5号门中庭一层少年如辰逐风也逐梦@INTO1-张嘉元,"|0|0|0|0|0|
",60492
现在这个东西好卷  完全乱套  什么人都能遇到#美版p药# 深圳·皇庭·皇岗商务中心 ,"|0|0|1|0|0|
",299058
对于马上要通关了这件事 我的态度是： ,"|0|0|0|1|0|
",155039
对于马上要通关了这件事 我的态度是：,"|0|0|0|0|0|
",303231
【港仔游深圳】福田疫后变化(上)！迷你机铺取代迷你KTV！#深圳[超话]# #VLOG[超话]# #深圳·COCOPARK[地点]# #中心城# #皇庭广场[超话]# #福田商场# http://t.cn/A69hlZX9 ,"|0|0|0|0|0|
",304639
今天是正式告别入境隔离的日子，福田口岸可谓是红旗招展，锣鼓喧天，我用甜甜的下午茶、温暖的特价打底衫、给爱车做个脸以示诚意[赞R]三年恍如一瞬，终于又回到了可以周末回深圳遛娃逛吃的节奏！#香港通关[话题]# #深圳周末做什么[话题]# #2023[话题]#,"|0|1|0|0|0|
",72942
深圳香港通关你们去哪里？我去深圳购物公园吃英式早餐喝抹茶拿铁深圳购物公园深圳市福田区民田路138号行走街道星美乐(星河COCOPark店)广东省深圳市福田区东福华三路269号CocoPark1楼中庭西侧S003、S005铺英式早餐星巴克(深圳购物公园店)深圳市福田区民田路138号深圳购物公园F1抹茶拿铁#深圳·购物公园[地点]# http://t.cn/A69LLF3Y,"|0|0|0|0|0|
",862794
虽然唔系你依间分店做嘅果单嘢但系依然想屌柒你寿司郎垃圾 深圳·寿司郎(One Avenue卓悦中心店) ,"|0|0|0|1|0|
",302289
#光与夜之恋陆沉[超话]# 接一下深圳卓悦中心生日大屏的代拍！20号早上去一次 cocopark的不接那时候回老家过年了[允悲] 需要私信！一个人去不接太多了 ,"|0|0|0|0|0|
",452660
#南方小年# 唔行花市唔算过年 深圳·One Avenue卓悦中心 ,"|0|0|0|0|0|
",301750
不要做鸠占鹊巢的事。本来不出现就可以不恶感的，但大过年的非要来文化挑战一下，真的直接被恶心到了。过年的气氛是一年不如一年了。但我还是喜欢浓郁红色的中国元素。骨子里的。没得改。以前在深圳福田区住了蛮久，经常去coco park 、中心城这些地方。网络上照片一看，基本上还是熟悉的。好讨厌丧死了的倭风。三年多没去深圳了。,"|0|0|0|0|0|
",453952
终于喝到瑞幸了！！内地的新品我已经落后一个世纪什么时候可以不用核酸的来回更快乐[丰收了]周末研学结束哈哈哈哈[开学季][开学季] ,"|0|0|0|0|0|
",452066
玩转幸福福田 精彩纷呈过大年大中华年味的正确打开方式 一站式承包你的新春假期#深圳大中华喜来登酒店##陪你过年# ,"|0|0|0|0|0|
",159093
