博文内容,识别结果,id
烟花全靠手机看,"|0|0|0|0|0|
",860547
美好的东西只在一瞬 长沙·长沙世界之窗 ,"|0|0|0|0|0|
",812966
#落日黄昏[话题]# #深圳湾公园[话题]#,"|0|0|0|0|0|
",177864
辉瑞Paxlovid说明书，家人们翻译了解一下#抗疫求助[超话]##新冠特效药##抗原[超话]# 深圳·深圳湾公园 ,"|0|0|0|0|0|
",813918
累了一天，犒劳一下自己 深圳·深圳湾公园 ,"|0|0|0|0|0|
",814057
忙到这么晚才能吃上饭，但是能帮到很多忙还是挺值得的 #健康生活#  深圳·深圳湾公园,"|0|0|0|0|0|
",816372
筹划在深圳湾公园整点咖啡??整点热茶?已有:露营小推车桌子板凳一套??待置办:茶具，便利式垃圾捅商用保温桶，速溶或者挂耳咖啡跟一次性用具打算故事交换聊聊天大家参考下是否可行最怕被赶跟木人问津,"|0|0|0|0|0|
",73587
#辉瑞新冠特效药网售放开# 忙不过来了真正需要的再来问我吧！时间是金钱我这边有很多真正需要的人，没有多余的时间去一一回复，希望谅解！谢谢大家了#疫情什么时候结束[超话]# 深圳·深圳世界之窗 ,"|0|0|0|0|0|
",300561
海鷗不在眷戀大海 可以飛更遠,"|0|0|0|0|0|
",15040
#海鸥[话题]# #深圳湾公园[话题]#,"`|0|0|0|0|0|`
",73074
被朋友鸽了梧桐山，果断转战盐田高级中学观景台顺便续签港澳通行证 PS：外地户口深圳续签港澳通行证，需要提前办理深圳居住证，有居住证电子信息即可 #摄影 #摄影日常 #深圳拍照 #365天摄影计划 #平,"|0|0|0|0|0|
",14918
深圳特色小吃：麦当劳[赢牛奶]  深圳·欢乐海岸,"|0|0|0|0|0|
",299523
#王思聪疑因打人被拘提请行政复议#这让我想起16年在长沙世界之窗玩时我和同學玩自拍坐对面一个女人以為我拍了她和她一起的男人，我说我沒拍她不信还非要发疯似的查看我手机，我肯定不给她查，就是各种不信不听非说我拍了她！[汗]搞了半天我说要看手机先報警呀，最后那个男人实在看不下去把她拉走啦！[哈哈]什么垃圾来的这么自信別人拍她原來是个小三和个野男人自己心虛[允悲][允悲][允悲],"|0|0|0|0|0|
",864253
跟着老爸的镜头游锦绣中华，快乐需要一双发现美的眼睛[强] http://t.cn/A69ymB98 ,"|0|0|0|0|0|
",862316
[可憐][悲傷][允悲][話筒][音樂][音樂]人无憾了吧一起烧过烟花滴滴都是爱似撒下了金沙炼造我们 这璀灿传奇不枉这些年陪着你 也不顾做箭靶烟花虽化灰 余情还是很炽热吗情路虽于 这里分岔相处尽头 并不是 恋爱尽头在那边 等我 别怕#深圳婚纱摄影##深圳欢乐谷##深圳疫情##深圳约拍[超话]# ,"|0|0|0|0|0|
",453762
因为朋友来深圳闪电北上，简单看下世界之窗，，，也有30年历史了，当年算是很宏大的工程，现在嘛，就是一个瓦字，，，很多以前是最top的项目现在也没开,"|0|0|1|0|0|
",176079
【畅游神州丨深圳湾公园西伯利亚的海鸥如期而至】正值“黄金观鸟期”的深圳湾迎来世界各地约10万只鸟儿来此过冬，给人们带来了惊喜不断的海景盛宴。而这里也是海鸥的聚集地，每年冬天都有来自西伯利亚成群结队的海鸥飞来到深圳湾休憩觅食，在海岸线上绘制了一幅浪漫风景画。“海鸥不曾眷恋大海，可以飞更远……”站在这海鸥纷飞的大海面前，脑海里不禁循环播放周董这首《明明就》。内地和香港通关也好几天了，许多深港市民都能与相隔两地的家人、朋友见面，深圳湾公园不失为一个好选择，赏美景，运动、观鸟、祈福，尽情享受休闲时光。温馨提示：最佳观鸟时间为每年11月中下旬至来年2月，清晨或下午4-5点，但不能随意投喂海鸥哦~清晨时分人流相对少，鸟类较为活跃，有机会近距离观测。下午潮水水位较低，可见大量鸟儿在滩涂栖息玩耍。#深圳湾公园##海鸥#,"|0|0|0|0|0|
",864195
#沉沦与遐想[音乐]# 深圳·深圳湾公园,"|0|0|0|0|0|
",819379
在澳门的两天已经把今年的粤语额度用光了，明明都是旅客，等等，怎么你们都是讲粤语的啊[苦涩]早先订了酒店和船票，结果因为澳门放开了所有航班都取消重排，还是得退票重新订；出发当天又是大雾(为什么一月份就回南天差点连袜子都没有穿的)，到了蛇口码头就通知停航让退票，服务台排起长龙，结果还没排到就突然宣布复航了，一瞬间队伍消失得无影无踪[疑问]到了澳门刚出关口就看到葡京小姐姐穿着金色长筒靴在等客人上车。去酒店check in，前台说找不到我的预订，联系飞猪卖家顺利入住，其实是卖家把我姓名弄反了[费解]巴黎人里最巴黎的是寄存行李的小姐姐，会和你说bonjour madam。一切都是浮华，但是娱乐场里的工作人员朴实得仿佛能在里面组织广场舞。也没吃什么正经东西，每天在商场进行一些window shopping也能走个两万步。最后，没开漫游接不到短信电话，我强烈建议移动用户提前检查一下国际漫游到底开没开[微笑] 澳门·氹仔新碼頭,"|0|1|0|0|1|
",175967
时隔三年终于回来香港了要是乐子能一起回来就好了[苦涩] 香港 ,"|0|0|0|0|0|
",453187
